sym,RefEntityName,Tier,Tenor,REDcode,ConvSpreadBid,ConvSpreadAsk,Coupon,Quality,Source,Owner,DocClause,Currency,Conv Spread Parsed,Upfront Parsed,Parsed Ticker
MEX,Utd Mexican Sts,SNRFOR,5,9A18EC,117,119,100,10,BARCAP,AQRCM,CR14,USD,1,0,MX
BRAZIL,Federative Rep Brazil,SNRFOR,5,115CCB,228,231,100,10,BARCAP,AQRCM,CR14,USD,1,0,BZ
WFC,Wells Fargo & Co,SNRFOR,5,9DDGBA,42,45,100,10,BARCAP,AQRCM,XR14,USD,1,0,WFC
MWD,Morgan Stanley,SNRFOR,5,678B8A,75,78,100,10,BARCAP,AQRCM,XR14,USD,1,0,MS
JPM,JPMorgan Chase & Co,SNRFOR,5,4C933G,63,66,100,10,BARCAP,AQRCM,XR14,USD,1,0,JPM
HRB-Fllc,Block Finl LLC,SNRFOR,5,09C9BK,140,150,500,10,BARCAP,AQRCM,XR14,USD,1,0,HRB-FLLC
GS,Goldman Sachs Gp Inc,SNRFOR,5,3B955H,84,87,100,10,BARCAP,AQRCM,XR14,USD,1,0,GS
GE-CapCorp,Gen Elec Cap Corp,SNRFOR,5,39FF84,37,40,100,10,BARCAP,AQRCM,XR14,USD,1,0,GECC
COF-BNKNA,Cap One Bk USA Natl Assn,SNRFOR,5,1F445B,25,30,100,10,BARCAP,AQRCM,XR14,USD,1,0,COF BK
COF,Cap One Finl Corp,SNRFOR,5,1F444H,40,45,100,10,BARCAP,AQRCM,XR14,USD,1,0,COF FIN
C,Citigroup Inc,SNRFOR,5,189BFD,73,76,100,10,BARCAP,AQRCM,XR14,USD,1,0,CITI
BACORP,Bk of America Corp,SNRFOR,5,0G655D,64,67,100,10,BARCAP,AQRCM,XR14,USD,1,0,BAC
AXP,Amern Express Co,SNRFOR,5,027D97,43,48,100,10,BARCAP,AQRCM,XR14,USD,1,0,AXP
TSCO,Tesco PLC,SNRFOR,5,8G96CC,166,173,100,10,BARCAP,AQRCM,MM14,EUR,1,0,TSCOLN
SBRY,J Sainsbury PLC,SNRFOR,5,4AC86D,124,132,100,10,BARCAP,AQRCM,MM14,EUR,1,0,SBRY
NXT,Next plc,SNRFOR,5,GMB517,38,43,100,10,BARCAP,AQRCM,MM14,EUR,1,0,NXTLN
MKS-M+SPlc,Marks & Spencer p l c,SNRFOR,5,GLDABF,80,85,100,10,BARCAP,AQRCM,MM14,EUR,1,0,MKS
METFNL,METRO AG,SNRFOR,5,DI8CFE,89,94,100,10,BARCAP,AQRCM,MM14,EUR,1,0,MEOGR
KINGFI,Kingfisher PLC,SNRFOR,5,4-Dec-96,49,54,100,10,BARCAP,AQRCM,MM14,EUR,1,0,KGFLN
KERIAA,Kering,SNRFOR,5,FK976O,51,56,100,10,BARCAP,AQRCM,MM14,EUR,1,0,KERFP
GROUPE,CASINO GUICHARDPERRACHON,SNRFOR,5,FG554O,96,101,100,10,BARCAP,AQRCM,MM14,EUR,1,0,COFP
CARR,Carrefour,SNRFOR,5,FG4CAM,46,51,100,10,BARCAP,AQRCM,MM14,EUR,1,0,CAFP
AYLL,SAFEWAY LTD,SNRFOR,5,GNEDEU,110,120,100,10,BARCAP,AQRCM,MM14,EUR,1,0,MRWLN
AUCHAN,GROUPE AUCHAN,SNRFOR,5,FF4D97,34,38,100,10,BARCAP,AQRCM,MM14,EUR,1,0,AUCHAN
AHOLD,Koninklijke Ahold N V,SNRFOR,5,5F04AD,55,60,100,10,BARCAP,AQRCM,MM14,EUR,1,0,AHNA
ULVR,Unilever N V,SNRFOR,5,994BFC,20,23,100,10,BARCAP,AQRCM,MM14,EUR,1,0,ULVR
TATELN,Tate & Lyle PLC,SNRFOR,5,8FDBC7,74,79,100,10,BARCAP,AQRCM,MM14,EUR,1,0,TATELN
SUEDZU,Suedzucker AG,SNRFOR,5,DLA9F9,133,143,100,10,BARCAP,AQRCM,MM14,EUR,1,0,SZUGR
NESTLE,Nestle S A,SNRFOR,5,6A516F,14,18,100,10,BARCAP,AQRCM,MM14,EUR,1,0,NESNVX
ELTLX,AB Electrolux,SNRFOR,5,0B11AH,47,52,100,10,BARCAP,AQRCM,MM14,EUR,1,0,ELTLX
DANONE,DANONE,SNRFOR,5,2F999Z,43,47,100,10,BARCAP,AQRCM,MM14,EUR,1,0,BNFP
IHEAINC,iHeartCommunications Inc,SNRFOR,5,UY955C,2071.496,2244.374,500,10,BARCAP,AQRCM,XR14,USD,0,1,CCU
SWEMAT,Swedish Match AB,SNRFOR,5,8F7339,32,47,100,10,BARCAP,AQRCM,MM14,EUR,1,0,SWEMAT
JTI,JTI UK Fin PLC,SNRFOR,5,GL731F,20,25,100,10,BARCAP,AQRCM,MM14,EUR,1,0,JTI
IMPTOB,Imperial Tob Gp PLC,SNRFOR,5,4J8456,54,59,100,10,BARCAP,AQRCM,MM14,EUR,1,0,IMTLN
BATSLN,Brit Amern Tob plc,SNRFOR,5,1C148C,35,39,100,10,BARCAP,AQRCM,MM14,EUR,1,0,BATSLN
SANFI,SANOFI,SNRFOR,5,F8128F,25,28,100,10,BARCAP,AQRCM,MM14,EUR,1,0,SANFP
ROSW,Roche Hldg Ltd,SNRFOR,5,HNFBBC,20,25,100,10,BARCAP,AQRCM,MM14,EUR,1,0,ROSW
NOVART,Novartis AG,SNRFOR,5,6CFHF2,15,20,100,10,BARCAP,AQRCM,MM14,EUR,1,0,NOVNVX
MKGA,Merck KGaA,SNRFOR,5,DI88C3,29,33,100,10,BARCAP,AQRCM,MM14,EUR,1,0,MRKGR
GSK,Glaxosmithkline Plc,SNRFOR,5,3AEA6Z,25,28,100,10,BARCAP,AQRCM,MM14,EUR,1,0,GSK
AZN,Astrazeneca PLC,SNRFOR,5,04A988,26,29,100,10,BARCAP,AQRCM,MM14,EUR,1,0,AZN
SABLN,SABMiller PLC,SNRFOR,5,7FDC9O,48,56,100,10,BARCAP,AQRCM,MM14,EUR,1,0,SABLN
PERNOD,Pernod Ricard,SNRFOR,5,7I568A,50,55,100,10,BARCAP,AQRCM,MM14,EUR,1,0,RIFP
MOET,LVMH Moet Hennessy Louis Vuitton,SNRFOR,5,5F2685,22,26,100,10,BARCAP,AQRCM,MM14,EUR,1,0,MCFP
HEIANA,Heineken NV,SNRFOR,5,NQCD69,34,38,100,10,BARCAP,AQRCM,MM14,EUR,1,0,HEIANA
DIAG,Diageo PLC,SNRFOR,5,2H767T,34,38,100,10,BARCAP,AQRCM,MM14,EUR,1,0,DGELN
BRYBDC-Brew,Carlsberg Breweries A S,SNRFOR,5,KN9C8H,78,85,100,10,BARCAP,AQRCM,MM14,EUR,1,0,CARLB
ANBUS,Anheuser Busch InBev NV,SNRFOR,5,BB347Q,49,54,100,10,BARCAP,AQRCM,MM14,EUR,1,0,ABIBB
PRU,Prudential Finl Inc,SNRFOR,10,7B8752,125,135,100,10,BARCAP,AQRCM,XR14,USD,1,0,PRU
PRU,Prudential Finl Inc,SNRFOR,7,7B8752,105,112,100,10,BARCAP,AQRCM,XR14,USD,1,0,PRU
PRU,Prudential Finl Inc,SNRFOR,6,7B8752,97,105,100,10,BARCAP,AQRCM,XR14,USD,1,0,PRU
PRU,Prudential Finl Inc,SNRFOR,5,7B8752,82,87,100,10,BARCAP,AQRCM,XR14,USD,1,0,PRU
PRU,Prudential Finl Inc,SNRFOR,4,7B8752,65,70,100,10,BARCAP,AQRCM,XR14,USD,1,0,PRU
PRU,Prudential Finl Inc,SNRFOR,3,7B8752,45,50,100,10,BARCAP,AQRCM,XR14,USD,1,0,PRU
PRU,Prudential Finl Inc,SNRFOR,2,7B8752,27,32,100,10,BARCAP,AQRCM,XR14,USD,1,0,PRU
PRU,Prudential Finl Inc,SNRFOR,1,7B8752,12,17,100,10,BARCAP,AQRCM,XR14,USD,1,0,PRU
MET,MetLife Inc,SNRFOR,10,5EA6BX,120,130,100,10,BARCAP,AQRCM,XR14,USD,1,0,MET
MET,MetLife Inc,SNRFOR,7,5EA6BX,100,108,100,10,BARCAP,AQRCM,XR14,USD,1,0,MET
MET,MetLife Inc,SNRFOR,6,5EA6BX,90,98,100,10,BARCAP,AQRCM,XR14,USD,1,0,MET
MET,MetLife Inc,SNRFOR,5,5EA6BX,73,78,100,10,BARCAP,AQRCM,XR14,USD,1,0,MET
MET,MetLife Inc,SNRFOR,4,5EA6BX,58,63,100,10,BARCAP,AQRCM,XR14,USD,1,0,MET
MET,MetLife Inc,SNRFOR,3,5EA6BX,40,45,100,10,BARCAP,AQRCM,XR14,USD,1,0,MET
MET,MetLife Inc,SNRFOR,2,5EA6BX,25,30,100,10,BARCAP,AQRCM,XR14,USD,1,0,MET
MET,MetLife Inc,SNRFOR,1,5EA6BX,15,20,100,10,BARCAP,AQRCM,XR14,USD,1,0,MET
LNC,Lincoln Natl Corp,SNRFOR,10,5I759F,132,142,100,10,BARCAP,AQRCM,XR14,USD,1,0,LNC
LNC,Lincoln Natl Corp,SNRFOR,7,5I759F,112,122,100,10,BARCAP,AQRCM,XR14,USD,1,0,LNC
LNC,Lincoln Natl Corp,SNRFOR,6,5I759F,100,107,100,10,BARCAP,AQRCM,XR14,USD,1,0,LNC
LNC,Lincoln Natl Corp,SNRFOR,5,5I759F,87,92,100,10,BARCAP,AQRCM,XR14,USD,1,0,LNC
LNC,Lincoln Natl Corp,SNRFOR,4,5I759F,67,75,100,10,BARCAP,AQRCM,XR14,USD,1,0,LNC
LNC,Lincoln Natl Corp,SNRFOR,3,5I759F,47,55,100,10,BARCAP,AQRCM,XR14,USD,1,0,LNC
LNC,Lincoln Natl Corp,SNRFOR,2,5I759F,27,35,100,10,BARCAP,AQRCM,XR14,USD,1,0,LNC
LNC,Lincoln Natl Corp,SNRFOR,1,5I759F,12,20,100,10,BARCAP,AQRCM,XR14,USD,1,0,LNC
BRK,Berkshire Hathaway Inc,SNRFOR,10,08CAD7,107,117,100,10,BARCAP,AQRCM,XR14,USD,1,0,BRK
BRK,Berkshire Hathaway Inc,SNRFOR,7,08CAD7,82,87,100,10,BARCAP,AQRCM,XR14,USD,1,0,BRK
BRK,Berkshire Hathaway Inc,SNRFOR,6,08CAD7,70,75,100,10,BARCAP,AQRCM,XR14,USD,1,0,BRK
BRK,Berkshire Hathaway Inc,SNRFOR,5,08CAD7,57,60,100,10,BARCAP,AQRCM,XR14,USD,1,0,BRK
BRK,Berkshire Hathaway Inc,SNRFOR,4,08CAD7,42,47,100,10,BARCAP,AQRCM,XR14,USD,1,0,BRK
BRK,Berkshire Hathaway Inc,SNRFOR,3,08CAD7,32,37,100,10,BARCAP,AQRCM,XR14,USD,1,0,BRK
BRK,Berkshire Hathaway Inc,SNRFOR,2,08CAD7,22,27,100,10,BARCAP,AQRCM,XR14,USD,1,0,BRK
BRK,Berkshire Hathaway Inc,SNRFOR,1,08CAD7,12,17,100,10,BARCAP,AQRCM,XR14,USD,1,0,BRK
MEX,Utd Mexican Sts,SNRFOR,5,9A18EC,117,119,100,10,BARCAP,AQRCM,CR14,USD,1,0,MX
BRAZIL,Federative Rep Brazil,SNRFOR,5,115CCB,229,232,100,10,BARCAP,AQRCM,CR14,USD,1,0,BZ
ALL,Allstate Corp,SNRFOR,10,0C2002,50,60,100,10,BARCAP,AQRCM,XR14,USD,1,0,ALL
ALL,Allstate Corp,SNRFOR,7,0C2002,40,47,100,10,BARCAP,AQRCM,XR14,USD,1,0,ALL
ALL,Allstate Corp,SNRFOR,6,0C2002,32,40,100,10,BARCAP,AQRCM,XR14,USD,1,0,ALL
ALL,Allstate Corp,SNRFOR,5,0C2002,25,30,100,10,BARCAP,AQRCM,XR14,USD,1,0,ALL
ALL,Allstate Corp,SNRFOR,4,0C2002,17,22,100,10,BARCAP,AQRCM,XR14,USD,1,0,ALL
ALL,Allstate Corp,SNRFOR,3,0C2002,10,15,100,10,BARCAP,AQRCM,XR14,USD,1,0,ALL
ALL,Allstate Corp,SNRFOR,2,0C2002,5,10,100,10,BARCAP,AQRCM,XR14,USD,1,0,ALL
ALL,Allstate Corp,SNRFOR,1,0C2002,3,8,100,10,BARCAP,AQRCM,XR14,USD,1,0,ALL
ACE,ACE Ltd,SNRFOR,10,0A4848,43,53,100,10,BARCAP,AQRCM,XR14,USD,1,0,ACE
ACE,ACE Ltd,SNRFOR,7,0A4848,33,40,100,10,BARCAP,AQRCM,XR14,USD,1,0,ACE
ACE,ACE Ltd,SNRFOR,6,0A4848,30,38,100,10,BARCAP,AQRCM,XR14,USD,1,0,ACE
ACE,ACE Ltd,SNRFOR,5,0A4848,23,28,100,10,BARCAP,AQRCM,XR14,USD,1,0,ACE
ACE,ACE Ltd,SNRFOR,4,0A4848,18,23,100,10,BARCAP,AQRCM,XR14,USD,1,0,ACE
ACE,ACE Ltd,SNRFOR,3,0A4848,10,15,100,10,BARCAP,AQRCM,XR14,USD,1,0,ACE
ACE,ACE Ltd,SNRFOR,2,0A4848,5,10,100,10,BARCAP,AQRCM,XR14,USD,1,0,ACE
ACE,ACE Ltd,SNRFOR,1,0A4848,0,5,100,7,BARCAP,AQRCM,XR14,USD,1,0,ACE
MMC,Marsh & Mclennan Cos Inc,SNRFOR,10,5C88BC,40,50,100,10,BARCAP,AQRCM,XR14,USD,1,0,MMC
MMC,Marsh & Mclennan Cos Inc,SNRFOR,7,5C88BC,30,38,100,10,BARCAP,AQRCM,XR14,USD,1,0,MMC
MMC,Marsh & Mclennan Cos Inc,SNRFOR,6,5C88BC,23,28,100,10,BARCAP,AQRCM,XR14,USD,1,0,MMC
MMC,Marsh & Mclennan Cos Inc,SNRFOR,5,5C88BC,15,20,100,10,BARCAP,AQRCM,XR14,USD,1,0,MMC
MMC,Marsh & Mclennan Cos Inc,SNRFOR,4,5C88BC,8,13,100,10,BARCAP,AQRCM,XR14,USD,1,0,MMC
MMC,Marsh & Mclennan Cos Inc,SNRFOR,3,5C88BC,5,10,100,10,BARCAP,AQRCM,XR14,USD,1,0,MMC
MMC,Marsh & Mclennan Cos Inc,SNRFOR,2,5C88BC,3,8,100,10,BARCAP,AQRCM,XR14,USD,1,0,MMC
MMC,Marsh & Mclennan Cos Inc,SNRFOR,1,5C88BC,3,8,100,7,BARCAP,AQRCM,XR14,USD,1,0,MMC
XLITLTD,XLIT Ltd,SNRFOR,10,GPHABP,60,70,100,10,BARCAP,AQRCM,XR14,USD,1,0,XL
XLITLTD,XLIT Ltd,SNRFOR,7,GPHABP,50,58,100,10,BARCAP,AQRCM,XR14,USD,1,0,XL
XLITLTD,XLIT Ltd,SNRFOR,6,GPHABP,43,48,100,10,BARCAP,AQRCM,XR14,USD,1,0,XL
XLITLTD,XLIT Ltd,SNRFOR,5,GPHABP,33,38,100,10,BARCAP,AQRCM,XR14,USD,1,0,XL
XLITLTD,XLIT Ltd,SNRFOR,4,GPHABP,23,28,100,10,BARCAP,AQRCM,XR14,USD,1,0,XL
XLITLTD,XLIT Ltd,SNRFOR,3,GPHABP,15,20,100,10,BARCAP,AQRCM,XR14,USD,1,0,XL
XLITLTD,XLIT Ltd,SNRFOR,2,GPHABP,10,15,100,10,BARCAP,AQRCM,XR14,USD,1,0,XL
XLITLTD,XLIT Ltd,SNRFOR,1,GPHABP,8,13,100,10,BARCAP,AQRCM,XR14,USD,1,0,XL
GE-CapCorp,Gen Elec Cap Corp,SNRFOR,10,39FF84,65,72,100,10,BARCAP,AQRCM,XR14,USD,1,0,GECC
GE-CapCorp,Gen Elec Cap Corp,SNRFOR,7,39FF84,52,57,100,10,BARCAP,AQRCM,XR14,USD,1,0,GECC
GE-CapCorp,Gen Elec Cap Corp,SNRFOR,6,39FF84,44,49,100,10,BARCAP,AQRCM,XR14,USD,1,0,GECC
GE-CapCorp,Gen Elec Cap Corp,SNRFOR,5,39FF84,37,40,100,10,BARCAP,AQRCM,XR14,USD,1,0,GECC
GE-CapCorp,Gen Elec Cap Corp,SNRFOR,4,39FF84,27,32,100,10,BARCAP,AQRCM,XR14,USD,1,0,GECC
GE-CapCorp,Gen Elec Cap Corp,SNRFOR,3,39FF84,20,25,100,10,BARCAP,AQRCM,XR14,USD,1,0,GECC
GE-CapCorp,Gen Elec Cap Corp,SNRFOR,2,39FF84,15,20,100,10,BARCAP,AQRCM,XR14,USD,1,0,GECC
GE-CapCorp,Gen Elec Cap Corp,SNRFOR,1,39FF84,10,15,100,10,BARCAP,AQRCM,XR14,USD,1,0,GECC
GE-CapCorp,Gen Elec Cap Corp,SNRFOR,0.5,39FF84,5,10,100,10,BARCAP,AQRCM,XR14,USD,1,0,GECC
GE-CapCorp,Gen Elec Cap Corp,SNRFOR,0.25,39FF84,5,10,100,7,BARCAP,AQRCM,XR14,USD,1,0,GECC
GE-CapCorp,Gen Elec Cap Corp,SNRFOR,0,39FF84,10,15,100,10,BARCAP,AQRCM,XR14,USD,1,0,GECC
GE-CapCorp,Gen Elec Cap Corp,SNRFOR,0.75,39FF84,10,15,100,10,BARCAP,AQRCM,XR14,USD,1,0,GECC
WFC,Wells Fargo & Co,SNRFOR,10,9DDGBA,77,85,100,10,BARCAP,AQRCM,XR14,USD,1,0,WFC
WFC,Wells Fargo & Co,SNRFOR,7,9DDGBA,62,67,100,10,BARCAP,AQRCM,XR14,USD,1,0,WFC
WFC,Wells Fargo & Co,SNRFOR,6,9DDGBA,52,57,100,10,BARCAP,AQRCM,XR14,USD,1,0,WFC
WFC,Wells Fargo & Co,SNRFOR,5,9DDGBA,42,45,100,10,BARCAP,AQRCM,XR14,USD,1,0,WFC
WFC,Wells Fargo & Co,SNRFOR,4,9DDGBA,30,35,100,10,BARCAP,AQRCM,XR14,USD,1,0,WFC
WFC,Wells Fargo & Co,SNRFOR,3,9DDGBA,20,25,100,10,BARCAP,AQRCM,XR14,USD,1,0,WFC
WFC,Wells Fargo & Co,SNRFOR,2,9DDGBA,15,20,100,10,BARCAP,AQRCM,XR14,USD,1,0,WFC
WFC,Wells Fargo & Co,SNRFOR,1,9DDGBA,10,15,100,10,BARCAP,AQRCM,XR14,USD,1,0,WFC
WFC,Wells Fargo & Co,SNRFOR,0.75,9DDGBA,10,15,100,10,BARCAP,AQRCM,XR14,USD,1,0,WFC
WFC,Wells Fargo & Co,SNRFOR,0.5,9DDGBA,10,15,100,10,BARCAP,AQRCM,XR14,USD,1,0,WFC
JPM,JPMorgan Chase & Co,SNRFOR,10,4C933G,103,111,100,10,BARCAP,AQRCM,XR14,USD,1,0,JPM
JPM,JPMorgan Chase & Co,SNRFOR,7,4C933G,86,91,100,10,BARCAP,AQRCM,XR14,USD,1,0,JPM
JPM,JPMorgan Chase & Co,SNRFOR,6,4C933G,76,81,100,10,BARCAP,AQRCM,XR14,USD,1,0,JPM
JPM,JPMorgan Chase & Co,SNRFOR,5,4C933G,63,66,100,10,BARCAP,AQRCM,XR14,USD,1,0,JPM
JPM,JPMorgan Chase & Co,SNRFOR,4,4C933G,48,53,100,10,BARCAP,AQRCM,XR14,USD,1,0,JPM
JPM,JPMorgan Chase & Co,SNRFOR,3,4C933G,36,41,100,10,BARCAP,AQRCM,XR14,USD,1,0,JPM
JPM,JPMorgan Chase & Co,SNRFOR,2,4C933G,26,31,100,10,BARCAP,AQRCM,XR14,USD,1,0,JPM
JPM,JPMorgan Chase & Co,SNRFOR,1,4C933G,21,26,100,10,BARCAP,AQRCM,XR14,USD,1,0,JPM
JPM,JPMorgan Chase & Co,SNRFOR,0.75,4C933G,21,26,100,10,BARCAP,AQRCM,XR14,USD,1,0,JPM
JPM,JPMorgan Chase & Co,SNRFOR,0.5,4C933G,21,26,100,7,BARCAP,AQRCM,XR14,USD,1,0,JPM
C,Citigroup Inc,SNRFOR,10,189BFD,111,118,100,10,BARCAP,AQRCM,XR14,USD,1,0,CITI
C,Citigroup Inc,SNRFOR,7,189BFD,96,101,100,10,BARCAP,AQRCM,XR14,USD,1,0,CITI
C,Citigroup Inc,SNRFOR,6,189BFD,86,91,100,10,BARCAP,AQRCM,XR14,USD,1,0,CITI
C,Citigroup Inc,SNRFOR,5,189BFD,73,76,100,10,BARCAP,AQRCM,XR14,USD,1,0,CITI
C,Citigroup Inc,SNRFOR,4,189BFD,58,63,100,10,BARCAP,AQRCM,XR14,USD,1,0,CITI
C,Citigroup Inc,SNRFOR,3,189BFD,46,51,100,10,BARCAP,AQRCM,XR14,USD,1,0,CITI
C,Citigroup Inc,SNRFOR,2,189BFD,31,36,100,10,BARCAP,AQRCM,XR14,USD,1,0,CITI
C,Citigroup Inc,SNRFOR,1,189BFD,21,26,100,10,BARCAP,AQRCM,XR14,USD,1,0,CITI
C,Citigroup Inc,SNRFOR,0.75,189BFD,18,23,100,10,BARCAP,AQRCM,XR14,USD,1,0,CITI
C,Citigroup Inc,SNRFOR,0.5,189BFD,18,23,100,10,BARCAP,AQRCM,XR14,USD,1,0,CITI
BACORP,Bk of America Corp,SNRFOR,10,0G655D,102,109,100,10,BARCAP,AQRCM,XR14,USD,1,0,BAC
BACORP,Bk of America Corp,SNRFOR,7,0G655D,89,94,100,10,BARCAP,AQRCM,XR14,USD,1,0,BAC
BACORP,Bk of America Corp,SNRFOR,6,0G655D,77,82,100,10,BARCAP,AQRCM,XR14,USD,1,0,BAC
BACORP,Bk of America Corp,SNRFOR,5,0G655D,64,67,100,10,BARCAP,AQRCM,XR14,USD,1,0,BAC
BACORP,Bk of America Corp,SNRFOR,4,0G655D,49,54,100,10,BARCAP,AQRCM,XR14,USD,1,0,BAC
BACORP,Bk of America Corp,SNRFOR,3,0G655D,37,42,100,10,BARCAP,AQRCM,XR14,USD,1,0,BAC
BACORP,Bk of America Corp,SNRFOR,2,0G655D,27,32,100,10,BARCAP,AQRCM,XR14,USD,1,0,BAC
BACORP,Bk of America Corp,SNRFOR,1,0G655D,21,26,100,10,BARCAP,AQRCM,XR14,USD,1,0,BAC
BACORP,Bk of America Corp,SNRFOR,0.75,0G655D,21,26,100,10,BARCAP,AQRCM,XR14,USD,1,0,BAC
BACORP,Bk of America Corp,SNRFOR,0.5,0G655D,21,26,100,7,BARCAP,AQRCM,XR14,USD,1,0,BAC
MWD,Morgan Stanley,SNRFOR,10,678B8A,115,123,100,10,BARCAP,AQRCM,XR14,USD,1,0,MS
MWD,Morgan Stanley,SNRFOR,7,678B8A,98,103,100,10,BARCAP,AQRCM,XR14,USD,1,0,MS
MWD,Morgan Stanley,SNRFOR,6,678B8A,88,93,100,10,BARCAP,AQRCM,XR14,USD,1,0,MS
MWD,Morgan Stanley,SNRFOR,5,678B8A,75,78,100,10,BARCAP,AQRCM,XR14,USD,1,0,MS
MWD,Morgan Stanley,SNRFOR,4,678B8A,60,65,100,10,BARCAP,AQRCM,XR14,USD,1,0,MS
MWD,Morgan Stanley,SNRFOR,3,678B8A,48,53,100,10,BARCAP,AQRCM,XR14,USD,1,0,MS
MWD,Morgan Stanley,SNRFOR,2,678B8A,38,43,100,10,BARCAP,AQRCM,XR14,USD,1,0,MS
MWD,Morgan Stanley,SNRFOR,1,678B8A,28,33,100,10,BARCAP,AQRCM,XR14,USD,1,0,MS
MWD,Morgan Stanley,SNRFOR,0.75,678B8A,25,30,100,10,BARCAP,AQRCM,XR14,USD,1,0,MS
MWD,Morgan Stanley,SNRFOR,0.5,678B8A,23,28,100,7,BARCAP,AQRCM,XR14,USD,1,0,MS
GS,Goldman Sachs Gp Inc,SNRFOR,10,3B955H,124,132,100,10,BARCAP,AQRCM,XR14,USD,1,0,GS
GS,Goldman Sachs Gp Inc,SNRFOR,7,3B955H,104,109,100,10,BARCAP,AQRCM,XR14,USD,1,0,GS
GS,Goldman Sachs Gp Inc,SNRFOR,6,3B955H,97,102,100,10,BARCAP,AQRCM,XR14,USD,1,0,GS
GS,Goldman Sachs Gp Inc,SNRFOR,5,3B955H,84,87,100,10,BARCAP,AQRCM,XR14,USD,1,0,GS
GS,Goldman Sachs Gp Inc,SNRFOR,4,3B955H,69,74,100,10,BARCAP,AQRCM,XR14,USD,1,0,GS
GS,Goldman Sachs Gp Inc,SNRFOR,3,3B955H,54,59,100,10,BARCAP,AQRCM,XR14,USD,1,0,GS
GS,Goldman Sachs Gp Inc,SNRFOR,2,3B955H,39,44,100,10,BARCAP,AQRCM,XR14,USD,1,0,GS
GS,Goldman Sachs Gp Inc,SNRFOR,1,3B955H,29,34,100,10,BARCAP,AQRCM,XR14,USD,1,0,GS
GS,Goldman Sachs Gp Inc,SNRFOR,0.75,3B955H,24,29,100,10,BARCAP,AQRCM,XR14,USD,1,0,GS
GS,Goldman Sachs Gp Inc,SNRFOR,0.5,3B955H,22,27,100,10,BARCAP,AQRCM,XR14,USD,1,0,GS
COF-BNKNA,Cap One Bk USA Natl Assn,SNRFOR,10,1F445B,55,65,100,10,BARCAP,AQRCM,XR14,USD,1,0,COF BK
COF-BNKNA,Cap One Bk USA Natl Assn,SNRFOR,7,1F445B,37,45,100,10,BARCAP,AQRCM,XR14,USD,1,0,COF BK
COF-BNKNA,Cap One Bk USA Natl Assn,SNRFOR,6,1F445B,32,37,100,10,BARCAP,AQRCM,XR14,USD,1,0,COF BK
COF-BNKNA,Cap One Bk USA Natl Assn,SNRFOR,5,1F445B,25,30,100,10,BARCAP,AQRCM,XR14,USD,1,0,COF BK
COF-BNKNA,Cap One Bk USA Natl Assn,SNRFOR,4,1F445B,17,22,100,10,BARCAP,AQRCM,XR14,USD,1,0,COF BK
COF-BNKNA,Cap One Bk USA Natl Assn,SNRFOR,3,1F445B,7,12,100,10,BARCAP,AQRCM,XR14,USD,1,0,COF BK
COF-BNKNA,Cap One Bk USA Natl Assn,SNRFOR,2,1F445B,5,10,100,10,BARCAP,AQRCM,XR14,USD,1,0,COF BK
COF-BNKNA,Cap One Bk USA Natl Assn,SNRFOR,1,1F445B,2,7,100,10,BARCAP,AQRCM,XR14,USD,1,0,COF BK
COF,Cap One Finl Corp,SNRFOR,10,1F444H,72,82,100,10,BARCAP,AQRCM,XR14,USD,1,0,COF FIN
COF,Cap One Finl Corp,SNRFOR,7,1F444H,57,67,100,10,BARCAP,AQRCM,XR14,USD,1,0,COF FIN
COF,Cap One Finl Corp,SNRFOR,6,1F444H,50,57,100,10,BARCAP,AQRCM,XR14,USD,1,0,COF FIN
COF,Cap One Finl Corp,SNRFOR,5,1F444H,40,45,100,10,BARCAP,AQRCM,XR14,USD,1,0,COF FIN
COF,Cap One Finl Corp,SNRFOR,4,1F444H,27,35,100,10,BARCAP,AQRCM,XR14,USD,1,0,COF FIN
COF,Cap One Finl Corp,SNRFOR,3,1F444H,17,25,100,10,BARCAP,AQRCM,XR14,USD,1,0,COF FIN
COF,Cap One Finl Corp,SNRFOR,2,1F444H,7,15,100,10,BARCAP,AQRCM,XR14,USD,1,0,COF FIN
COF,Cap One Finl Corp,SNRFOR,1,1F444H,2,10,100,10,BARCAP,AQRCM,XR14,USD,1,0,COF FIN
AXP,Amern Express Co,SNRFOR,10,027D97,73,83,100,10,BARCAP,AQRCM,XR14,USD,1,0,AXP
AXP,Amern Express Co,SNRFOR,7,027D97,60,68,100,10,BARCAP,AQRCM,XR14,USD,1,0,AXP
AXP,Amern Express Co,SNRFOR,6,027D97,53,58,100,10,BARCAP,AQRCM,XR14,USD,1,0,AXP
AXP,Amern Express Co,SNRFOR,5,027D97,43,48,100,10,BARCAP,AQRCM,XR14,USD,1,0,AXP
AXP,Amern Express Co,SNRFOR,4,027D97,33,38,100,10,BARCAP,AQRCM,XR14,USD,1,0,AXP
AXP,Amern Express Co,SNRFOR,3,027D97,23,28,100,10,BARCAP,AQRCM,XR14,USD,1,0,AXP
AXP,Amern Express Co,SNRFOR,2,027D97,13,18,100,10,BARCAP,AQRCM,XR14,USD,1,0,AXP
AXP,Amern Express Co,SNRFOR,1,027D97,5,10,100,10,BARCAP,AQRCM,XR14,USD,1,0,AXP
